Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
30001,Dino D-Day,PC,2011,Shooter,Unknown  ,800 North and Digital Ranch  ,5.5,,,,,,
30002,Dino Dini's Soccer,GEN,1994,Sports,Virgin Interactive  ,Dini and Dini Productions  ,,,,,,,
30003,Dino Dini's Soccer,SNES,1995,Sports,Virgin Interactive  ,Eurocom Entertainment Software  ,,,,,,,
30004,Dino Hunter: Deadly Shores,And,2014,Action,Glu Mobile Inc.  ,Glu Mobile Inc.  ,,,,,,,
30005,Dino King Battle: Taiko Kara no Hyouryuusha,DS,2006,Misc,Taito  ,Taito Corporation  ,,,,,,,
30006,Dino Land,GEN,1991,Misc,Renovation  ,Wolf Team  ,,,,,,,
30007,Dino Strike,Wii,2011,Shooter,Zoo Games  ,Zoo Games  ,,,,,,,
30008,Dino Wars,PC,N/A,Action,Unknown  ,DigiTek Software  ,,,,,,,
30009,DinoCity,SNES,1992,Platform,Irem Software Engineering  ,Smart Egg Pictures  ,,,,,,,
30010,Dinolympics,Lynx,1992,Puzzle,Atari  ,"Imagitec Design, Inc.  ",,,,,,,
30011,DinoPark Tycoon,3DO,1994,Strategy,MECC  ,Manley and Associates Inc.  ,,,,,,,
30012,DinoPark Tycoon,PC,1993,Strategy,MECC  ,Manley and Associates Inc.  ,,,,,,,
30013,Dinosaurs for Hire,GEN,1993,Shooter,Sega  ,Malibu Games  ,,,,,,,
30014,Direct Hit: Missile War,PC,2011,Strategy,Polynetix Studio  ,Polynetix Studio  ,,,,,,,
30015,DiRT,XBL,2009,Racing,Codemasters  ,Codemasters  ,,,,,,,
30016,DiRT 2,PSN,2009,Racing,Codemasters  ,Codemasters  ,,,,,,,
30017,DiRT 3: Complete Edition,PS3,N/A,Misc,Unknown  ,Unknown  ,,,,,,,
30018,DiRT 3: Complete Edition,X360,N/A,Misc,Unknown  ,Unknown  ,,,,,,,
30019,DiRT 3: Monte Carlo,PC,2011,Racing,Codemasters  ,Codemasters  ,,,,,,,
30020,DiRT 3: Monte Carlo,PSN,2011,Racing,Codemasters  ,Codemasters  ,,,,,,,
30021,DiRT 3: Monte Carlo,XBL,2011,Racing,Codemasters  ,Codemasters  ,,,,,,,
30022,DiRT 3: Power and Glory Car Pack,PC,2011,Racing,Codemasters  ,Codemasters  ,,,,,,,
30023,DiRT 3: Power and Glory Car Pack,PSN,2011,Racing,Codemasters  ,Codemasters  ,,,,,,,
30024,DiRT 3: Power and Glory Car Pack,XBL,2011,Racing,Codemasters  ,Codemasters  ,,,,,,,
30025,DiRT 3: X Games Asia Track Pack,PC,N/A,Misc,Unknown  ,Unknown  ,,,,,,,
30026,DiRT 3: X Games Asia Track Pack,PS3,N/A,Misc,Unknown  ,Unknown  ,,,,,,,
30027,DiRT 3: X Games Asia Track Pack,X360,N/A,Misc,Unknown  ,Unknown  ,,,,,,,
30028,DiRT Jockey: Heavy Equipment Operator,PS,2003,Simulation,Mastiff  ,"DDL, Inc.  ",,,,,,,
30029,DiRT Jockey: Heavy Equipment Operator,PSN,2010,Simulation,Sony Computer Entertainment  ,"DDL, Inc.  ",,,,,,,
30030,DiRT Showdown,PC,2012,Racing,Codemasters  ,Codemasters  ,,,,,,,
30031,Dirt Track Devils,PS2,2003,Racing,Midas Interactive Entertainment  ,Vingt-et-un Systems  ,,,,,,,
30032,Dirt Trax FX,SNES,1995,Racing,Acclaim Entertainment  ,Sculptured Software  ,7.0,,,,,,
30033,Dirty Harry,NES,1990,Action,Mindscape  ,Gray Matter  ,,,,,,,
30034,Dirty Larry: Renegade Cop,Lynx,1992,Action,Atari  ,Atari  ,,,,,,,
30035,Dirty Racing,GB,1993,Racing,Jaleco  ,Gremlin Interactive  ,,,,,,,
30036,Disc Derby,PS,2000,Sports,Dazz  ,Nexus Interactive  ,,,,,,,
30037,Disciples II DS,DS,N/A,Strategy,Unknown  ,Strategy First  ,,,,,,,
30038,Disciples II: Dark Prophecy,PC,N/A,Strategy,Unknown  ,Strategy First  ,,,,,,,
30039,Disciples II: Gallean's Return,PC,2005,Strategy,Strategy First  ,Strategy First  ,,,,,,,
30040,Disciples II: Gold Edition,PC,2005,Strategy,Strategy First  ,Strategy First  ,,,,,,,
30041,Disciples II: Guardians of the Light,PC,2003,Strategy,Strategy First  ,Strategy First  ,,,,,,,
30042,Disciples II: Rise of the Elves,PC,2003,Strategy,Strategy First  ,Strategy First  ,,,,,,,
30043,Disciples II: Servants of the Dark,PC,2003,Strategy,Strategy First  ,Strategy First  ,,,,,,,
30044,Disciples III Gold,PC,2010,Strategy,Strategy First  ,Akella  ,,,,,,,
30045,Disciples: Sacred Lands,PC,1999,Strategy,Strategy First  ,Strategy First  ,,,,,,,
30046,Disciples: Sacred Lands - Gold Edition,PC,2001,Strategy,Strategy First  ,Strategy First  ,,,,,,,
30047,Discipline,WW,2009,Adventure,Marvelous Interactive  ,Marvelous Interactive  ,,,,,,,
30048,Discolight,DSiW,2010,Misc,Kaasa Solution  ,Kaasa Solution  ,,,,,,,
30049,Discover our Earth,DS,N/A,Misc,Unknown  ,JoWooD Entertainment  ,,,,,,,
30050,Discovery! A Seek & Find Adventure,PC,2008,Misc,Mumbo Jumbo  ,MumboJumbo  ,,,,,,,
30051,Discs of Tron,XBL,2008,Action,Disney Interactive Studios  ,Backbone Charlottetown  ,,,,,,,
30052,Discworld,SAT,1996,Adventure,Psygnosis  ,Perfect Entertainment  ,,,,,,,
30053,Discworld II: Missing Presumed...?!,SAT,1997,Adventure,Sega  ,Perfect Entertainment  ,,,,,,,
30054,Discworld II: Mortality Bytes!,PC,1996,Adventure,Psygnosis  ,Perfect Entertainment  ,,,,,,,
30055,Discworld Noir,PS,2000,Adventure,GT Interactive  ,Perfect Entertainment  ,,,,,,,
30056,Disgaea 2: Cursed Memories,PSP,2009,Misc,NIS America  ,Unknown  ,,,,,,,
30057,Disgaea 2: Cursed Memories,PS3,2013,Misc,Sony Computer Entertainment America  ,Unknown  ,,,,,,,
30058,Disgaea 2: Dark Hero Days,PSN,2009,Role-Playing,NIS America  ,Nippon Ichi Software  ,8.1,,,,,,
30059,Disgaea 3: Absence of Justice,PSV,2012,Misc,NIS America  ,Unknown  ,,,,,,,
30060,Disgaea Infinite,PSN,2010,Adventure,NIS America  ,Nippon Ichi Software  ,6.8,,,,,,
30061,Disgaea: Afternoon of Darkness,PSN,2009,Role-Playing,NIS America  ,Nippon Ichi Software  ,8.7,,,,,,
30062,Disgaea: Hour of Darkness,PS3,2013,Misc,Sony Computer Entertainment America  ,Unknown  ,,,,,,,
30063,Disgaea: Hour of Darkness,PSP,2007,Misc,NIS America  ,Unknown  ,,,,,,,
30064,Disgaea: Hour of Darkness,DS,2008,Misc,NIS America  ,Unknown  ,,,,,,,
30065,Dishaster,2600,1983,Action,Unknown  ,Zimag  ,,,,,,,
30066,Disney Channel Collection Vol. 2,GBA,2005,Misc,Majesco  ,Majesco Games  ,,,,,,,
30067,Disney Checkout Challenege,And,2014,Simulation,Disney Interactive Studios  ,Disney Interactive Studios  ,,,,,,,
30068,Disney City Girl,PC,2012,Simulation,"Playdom, Inc.  ","Playdom, Inc.  ",,,,,,,
30069,Disney City Girl,BRW,2012,Misc,"Playdom, Inc.  ",Unknown  ,,,,,,,
30070,Disney Fireworks,DSiW,2010,Puzzle,Disney Interactive Studios  ,Disney Interactive Studios  ,5.0,,,,,,
30071,Disney Hidden Worlds,And,2013,Misc,Oddworld Inhabitans  ,Unknown  ,,,,,,,
30072,Disney Infinity,PC,2013,Misc,Disney Interactive Studios  ,Unknown  ,,,,,,,
30073,Disney Infinity 2.0: Marvel Super Heroes,PC,2014,Action-Adventure,Disney Interactive Studios  ,Avalanche Software  ,,,,,,,
30074,Disney Infinity 3.0,And,2015,Action,Disney Interactive Studios  ,Avalanche Software  ,,,,,,,
30075,Disney Infinity 3.0,PC,2015,Action,Disney Interactive Studios  ,Avalanche Software  ,,,,,,,
30076,Disney Magical World 2: My Happy Life,3DS,2020,Simulation,Namco Bandai Games  ,Namco Bandai Games  ,,,,,,,
30077,Disney Princess: Enchanted Journey,PC,2007,Adventure,Disney Interactive Studios  ,Papaya Studios  ,,,,,,,
30078,Disney Princess: My Fairytale Adventure,3DS,2013,Action,Disney Interactive Studios  ,Unknown  ,,,,,,,
30079,Disney Princess: Royal Adventure,GBA,2006,Role-Playing,Buena Vista  ,Art  ,,,,,,,
30080,Disney Princess: Royal Horse Show,PC,2005,Simulation,Disney Interactive Studios  ,Encore Games  ,,,,,,,
30081,Disney Sing It,PC,2008,Misc,Disney Interactive Studios  ,Zoe Mode  ,,,,,,,
30082,Disney Sing It! High School Musical 3: Senior Year,XBL,2010,Misc,Disney Interactive Studios  ,Zoe Mode  ,,,,,,,
30083,Disney Violetta: Rhythm & Music,DS,2014,Music,Disney Interactive Studios  ,Little Orbit  ,,,,,,,
30084,Disney Violetta: Rhythm & Music,Wii,2014,Music,Disney Interactive Studios  ,Little Orbit  ,,,,,,,
30085,Disney Wheres My Valentine?,And,2012,Misc,Oddworld Inhabitans  ,Unknown  ,,,,,,,
30086,Disney's 101 Dalmatians II: Patch's London Adventure,PS,2003,Action,Eidos Interactive  ,Backbone Emeryville  ,,,,,,,
30087,Disney's 102 Dalmatians: Puppies to the Rescue,DC,2000,Platform,Eidos Interactive  ,Crystal Dynamics  ,6.9,,,,,,
30088,Disney's 102 Dalmatians: Puppies to the Rescue,PC,2000,Platform,Disney Interactive Studios  ,Crystal Dynamics  ,,,,,,,
30089,Disney's 102 Dalmatians: Puppies to the Rescue,GB,2000,Platform,Activision  ,Crystal Dynamics  ,,,,,,,
30090,Disney's Aladdin,GG,1994,Platform,Sega  ,SIMS  ,,,,,,,
30091,Disney's Aladdin,GB,1995,Platform,Virgin Interactive  ,NMS Software  ,,,,,,,
30092,Disney's Aladdin,NES,1994,Platform,Virgin Interactive  ,NMS Software  ,,,,,,,
30093,Disney's Aladdin,MS,1994,Platform,Sega  ,Nexa  ,,,,,,,
30094,Disney's Aladdin (GBC),GB,2000,Platform,Ubisoft  ,Crawfish Interactive  ,,,,,,,
30095,Disney's Aladdin in Nasira's Revenge,PC,2001,Action,Disney Interactive Studios  ,Argonaut Games  ,,,,,,,
30096,"Disney's American Dragon: Jake Long, Rise of the Huntsclan",GBA,2006,Action,Buena Vista  ,WayForward  ,6.0,,,,,,
30097,Disney's Ariel the Little Mermaid,MS,1992,Platform,Tec Toy  ,BlueSky Software  ,,,,,,,
30098,Disney's Atlantis: The Lost Empire,GB,2001,Platform,THQ  ,Eurocom Entertainment Software  ,,,,,,,
30099,Disney's Atlantis: The Lost Empire,PSN,2010,Adventure,Disney Interactive Studios  ,Eurocom Entertainment Software  ,,,,,,,
30100,Disney's Atlantis: The Lost Empire - The Search for the Journal,PC,N/A,Shooter,Unknown  ,Zombie  ,,,,,,,
30101,Disney's Beauty and the Beast,SNES,1994,Platform,Hudson Soft  ,Hudson Soft  ,,,,,,,
30102,Disney's Beauty and the Beast,NES,1994,Platform,Hudson Soft  ,Hudson Soft  ,,,,,,,
30103,Disney's Beauty and the Beast,PC,1994,Puzzle,Disney Interactive Studios  ,Infogrames  ,,,,,,,
30104,Disney's Beauty and the Beast Activity Center,PC,2000,Misc,GSP  ,Infogrames  ,,,,,,,
30105,Disney's Beauty and the Beast: Belle's Quest,GEN,1993,Platform,Sunsoft  ,Software Creations  ,,,,,,,
30106,Disney's Beauty and the Beast: Roar of the Beast,GEN,1993,Platform,Sunsoft  ,Software Creations  ,,,,,,,
30107,Disney's Bonkers,GEN,1994,Platform,Capcom  ,Sega  ,,,,,,,
30108,Disney's Bonkers: Wax Up!,GG,1995,Platform,Sega  ,Al Baker and Associates  ,,,,,,,
30109,Disney's Bonkers: Wax Up!,MS,1994,Platform,Tec Toy  ,Tec Toy  ,,,,,,,
30110,Disney's Brother Bear / Disney Princess,GBA,2005,Misc,THQ  ,Various  ,,,,,,,
30111,Disney's Chicken Little,PC,2005,Platform,Buena Vista  ,Avalanche Software  ,,,,,,,
30112,Disney's Chicken Little: Ace in Action,PS2,2006,Shooter,Buena Vista  ,Avalanche Software  ,7.0,,,,,,
30113,Disney's Chip 'n Dale: Rescue Rangers 2,NES,1994,Platform,Capcom  ,Capcom  ,,,,,,,
30114,Disney's Dinosaur,DC,2000,Action,Ubisoft  ,Disney Interactive  ,5.3,,,,,,
30115,Disney's Donald Duck: Goin' Quackers,DC,2000,Platform,Ubisoft  ,Disney Interactive Studios  ,7.2,,,,,,
30116,Disney's Donald Duck: Goin' Quackers,GB,2000,Platform,Ubisoft  ,Disney Interactive Studios  ,,,,,,,
30117,Disney's Donald Duck: Goin' Quackers,PC,2000,Platform,Ubisoft  ,Disney Interactive Studios  ,,,,,,,
30118,Disney's Doug: Doug's Big Game,GB,2000,Adventure,NewKidCo  ,Magellan Interactive  ,,,,,,,
30119,Disney's DuckTales 2,NES,1993,Platform,Capcom  ,Capcom  ,,,,,,,
30120,Disney's DuckTales 2,GB,1993,Platform,Disney Interactive Studios  ,Capcom  ,,,,,,,
30121,Disney's Goof Troop,SNES,1993,Action,Capcom  ,Capcom  ,,,,,,,
30122,Disney's Hercules,PS,1997,Platform,Virgin Interactive  ,Eurocom Entertainment Software  ,,,,,,,
30123,Disney's Hercules,GB,1997,Platform,THQ  ,Tiertex Design Studios  ,,,,,,,
30124,Disney's Hercules,PSN,2010,Platform,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,,,,,,,
30125,Disney's Kim Possible: What's the Switch?,PS2,2006,Platform,Buena Vista  ,Artificial Mind and Movement  ,,,,,,,
30126,Disney's Lilo & Stitch,PS,2002,Platform,Sony Computer Entertainment  ,Blitz Games  ,,,,,,,
30127,Disney's Lilo & Stitch,PSN,2011,Action,Sony Computer Entertainment  ,Blitz Games  ,,,,,,,
30128,Disney's Meet the Robinsons,GBA,2007,Action,Disney Interactive Studios  ,Climax Entertainment  ,4.7,,,,,,
30129,Disney's Meet the Robinsons,PC,2007,Action,Disney Interactive Studios  ,Avalanche Software  ,,,,,,,
30130,Disney's Meet the Robinsons,PS2,2007,Action,Disney Interactive Studios  ,Avalanche Software  ,,,,,,,
30131,Disney's Meet The Robinsons,XBL,2009,Action,Disney Interactive Studios  ,Avalanche Software  ,,,,,,,
30132,Disney's Mulan,GB,1998,Platform,THQ  ,Tiertex Design Studios  ,,,,,,,
30133,Disney's Peter Pan: The Legend of Never Land,PS2,2005,Action,Sony Computer Entertainment  ,Blue52  ,,,,,,,
30134,Disney's Pinocchio,SNES,1996,Platform,Disney Interactive Studios  ,Virgin Interactive  ,,,,,,,
30135,Disney's Pinocchio,GB,1996,Platform,Black Pearl  ,NMS Software  ,,,,,,,
30136,Disney's Pinocchio,GEN,1996,Platform,THQ  ,Virgin Interactive  ,,,,,,,
30137,Disney's Pocahontas,GB,1996,Platform,Black Pearl  ,Tiertex Design Studios  ,,,,,,,
30138,Disney's Pocahontas,GEN,1996,Platform,Disney Interactive Studios  ,Funcom Oslo A/S  ,,,,,,,
30139,Disney's Pooh's Party Game: In Search of the Treasure,PSN,2009,Misc,Disney Interactive Studios  ,Doki Denki  ,,,,,,,
30140,Disney's Talespin,GG,1993,Action,Sega  ,Interactive Designs  ,,,,,,,
30141,Disney's TaleSpin,NES,1991,Shooter,Capcom  ,Capcom  ,,,,,,,
30142,Disney's TaleSpin,GB,1992,Shooter,Capcom  ,Capcom  ,,,,,,,
30143,Disney's TaleSpin,PCE,1991,Action,NEC  ,Interactive Designs  ,,,,,,,
30144,Disney's TaleSpin,GEN,1992,Platform,Sega  ,Sega  ,,,,,,,
30145,Disney's Tarzan,PS,1999,Action,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,,,,,,,
30146,Disney's Tarzan,GB,1999,Action,Activision  ,Digital Eclipse  ,,,,,,,
30147,Disney's Tarzan,PC,N/A,Platform,Unknown  ,Disney Interactive  ,,,,,,,
30148,Disney's Tarzan,PSN,2009,Action,Disney Interactive Studios  ,Eurocom Entertainment Software  ,,,,,,,
30149,Disney's The Emperor's New Groove,GB,2000,Platform,Ubisoft  ,Sandbox  ,,,,,,,
30150,Disney's The Emperor's New Groove,PSN,2011,Platform,Sony Computer Entertainment  ,Argonaut Software  ,,,,,,,
30151,Disney's The Hunchback of Notre Dame,GB,1997,Misc,Disney Interactive Studios  ,Tiertex Design Studios  ,,,,,,,
30152,Disney's The Jungle Book,GEN,1994,Platform,Virgin Interactive  ,Eurocom Entertainment Software  ,,,,,,,
30153,Disney's The Jungle Book,PC,1995,Platform,Virgin Interactive  ,Disney Interactive  ,,,,,,,
30154,Disney's The Jungle Book,NES,1994,Platform,Virgin Interactive  ,Eurocom Entertainment Software  ,,,,,,,
30155,Disney's The Lion King 1 1/2,GBA,2003,Action,THQ  ,Vicarious Visions  ,,,,,,,
30156,Disney's The Lion King: Classic Game Collection,PC,2003,Misc,Disney Interactive Studios  ,Disney Interactive Studios  ,,,,,,,
30157,Disney's The Lion King: Simba's Mighty Adventure,GB,2000,Action,Activision  ,Torus Games  ,,,,,,,
30158,Disney's The Little Mermaid II,PSN,2009,Action,Disney Interactive Studios  ,GBlitz Games  ,,,,,,,
30159,Disney's The Little Mermaid II Pinball Frenzy,GB,2000,Misc,Nintendo  ,Left Field Productions  ,,,,,,,
30160,Disney's The Little Mermaid: Magic in Two Kingdoms,GBA,2006,Action,Buena Vista  ,Gorilla Systems  ,,,,,,,
30161,Disney's Timon & Pumbaa's Jungle Games,SNES,1997,Puzzle,THQ  ,Tiertex Design Studios  ,,,,,,,
30162,Disney's Winnie the Pooh's Rumbly Tumbly Adventure & Rayman 3,GBA,2006,Platform,Ubisoft  ,Phoenix Game Studio / Ubisoft  ,,,,,,,
30163,Disney/Pixar Collection,PC,2005,Action,THQ  ,THQ  ,,,,,,,
30164,Disney's Ariel: The Little Mermaid,GEN,1992,Action,Sega  ,Bluesky Innovations  ,,,,,,,
30165,DisneyÂ´s The Jungle Book,GB,1994,Platform,Virgin Interactive  ,Eurocom Entertainment Software  ,,,,,,,
30166,Dissidia 012: Duodecim Final Fantasy,PSN,2011,Fighting,Square Enix  ,Square Enix  ,8.3,,,,,,
30167,Dissidia Duodecim Prologus Final Fantasy,PSN,2011,Fighting,Square Enix  ,Square Enix  ,,,,,,,
30168,Dissidia: Final Fantasy,PSN,2009,Fighting,Square Enix  ,Square Enix  ,8.1,,,,,,
30169,Dissidia: Final Fantasy (Arcade),Arc,2016,Fighting,Square Enix  ,Square Enix  ,,,,,,,
30170,Distance,Linux,2020,Misc,Refract Studios  ,Unknown  ,,,,,,,
30171,Distance,OSX,2020,Misc,Refract Studios  ,Unknown  ,,,,,,,
30172,Distant Worlds: Universe,PC,2014,Misc,Slitherine  ,Unknown  ,,,,,,,
30173,Diva Girls: Making the Music,DS,2009,Misc,505 Games  ,505 Games  ,,,,,,,
30174,Dive: The Medes Islands Secret!,WW,2010,Adventure,Cosmonaut Games  ,Cosmonaut Games  ,,,,,,,
30175,DiveBomb Chomp,And,2014,Misc,Unknown  ,Unknown  ,,,,,,,
30176,DiveBomb Chomp,OSX,2014,Misc,Unknown  ,Unknown  ,,,,,,,
30177,DiveBomb Chomp,PC,2014,Misc,Unknown  ,Unknown  ,,,,,,,
30178,Divekick,PS4,2013,Misc,Namco Networks America Inc.  ,Unknown  ,,,,,,,
30179,Divekick,PS3,2013,Misc,Namco Networks America Inc.  ,Unknown  ,,,,,,,
30180,Divekick,PSV,2013,Misc,Namco Networks America Inc.  ,Unknown  ,,,,,,,
30181,Divekick,XOne,2020,Fighting,Namco Networks America Inc.  ,Namco Networks America Inc.  ,,,,,,,
30182,Diver's Dream,PS,1998,Action,Konami  ,KCE Sapporo  ,,,,,,,
30183,Divergent Shift,DSiW,2010,Platform,Konami  ,Intrinsic Games  ,,,,,,,
30184,Divine Gate,And,2013,Puzzle,GungHo  ,Unknown  ,,,,,,,
30185,Divine Justice Zero,XBL,2011,Action,Microsoft  ,Xazin  ,,,,,,,
30186,Divine Sealing,GEN,1991,Action,Unknown  ,CYX  ,,,,,,,
30187,Divine Souls,PC,N/A,Action,Unknown  ,Outspark Inc.  ,,,,,,,
